full_name,pdes,name,H,diameter,albedo,om,w,moid,class,rms
   135 Hertha,135,Hertha,8.2,79.24,0.1436,343.571889324877,340.1813407227344,.913937,MBA,.41959
   136 Austria,136,Austria,9.7,36.893,0.201,186.4300641543985,132.5611749239022,1.09328,MBA,.42402
   137 Meliboea,137,Meliboea,8.1,128.678,0.065,202.2139386001468,107.3649838981451,1.48996,MBA,.43883
   138 Tolosa,138,Tolosa,8.8,52.905,0.273,54.74619955785457,260.5141174333305,1.03983,MBA,.48797
   139 Juewa,139,Juewa,8.0,151.116,0.052,1.817387606948736,165.608267067005,1.30401,MBA,.49067
   140 Siwa,140,Siwa,8.4,109.79,0.0676,107.1777401156961,196.8152900139367,1.13408,MBA,.48048
   141 Lumen,141,Lumen,8.5,117.916,0.067,318.4853889846577,57.83802119011938,1.11988,MBA,.39264
   142 Polana,142,Polana,10.3,54.812,0.047,291.2203729215961,291.8328957477927,1.08377,MBA,.44586
   143 Adria,143,Adria,9.1,95.377,0.044,332.980555477103,252.34115768,1.57661,MBA,.42035
   144 Vibilia,144,Vibilia,8.1,142.38,0.0597,76.1948702614168,294.6089632059516,1.03786,MBA,.46688
   145 Adeona,145,Adeona,8.2,127.783,0.061,77.38080180572533,44.90978627999115,1.31997,MBA,.44483
   146 Lucina,146,Lucina,8.4,160.310,0.036,83.94542100326747,145.7333885429514,1.53209,MBA,.45939
   147 Protogeneia,147,Protogeneia,8.7,132.93,0.0492,248.2655751915054,100.5354350832358,2.05484,MBA,.44913
   148 Gallia,148,Gallia,7.6,97.75,0.1640,145.0008448804841,252.719566382921,1.37367,MBA,.45591
   149 Medusa,149,Medusa,10.5,23.719,0.152,159.6023742831102,251.2995898893353,1.04375,MBA,.43991
   150 Nuwa,150,Nuwa,8.5,119.128,0.052,206.1447300625502,153.4893639718241,1.61255,MBA,.47724
   151 Abundantia,151,Abundantia,9.2,39.037,0.233,38.82873311912313,133.2894424078217,1.51323,MBA,.44621
   152 Atala,152,Atala,8.3,58.964,0.257,39.8997363939886,59.20472410357304,1.9223,MBA,.4112
   153 Hilda,153,Hilda,7.6,170.63,0.0618,228.1318919614637,39.05005486246291,2.41011,OMB,.43999
   154 Bertha,154,Bertha,7.7,192.611,0.044,36.7260595654465,160.4968442993846,1.95131,MBA,.42975
   155 Scylla,155,Scylla,11.2,39.605,0.027,40.95338341450753,46.06285318574558,1.03225,MBA,.42023
   156 Xanthippe,156,Xanthippe,8.7,143.346,0.030,241.8326463572659,338.3125492501752,1.10408,MBA,.42881
   157 Dejanira,157,Dejanira,11.1,19.959,0.173,62.04384073259951,46.50334562327607,1.10694,MBA,.44029
   158 Koronis,158,Koronis,9.2,39.025,0.213,277.7032752460857,146.4082147004761,1.73168,MBA,.47685
   159 Aemilia,159,Aemilia,8.3,125.236,0.064,134.115802692126,333.1959155938113,1.78948,MBA,.44017
   160 Una,160,Una,9.1,81.24,0.0625,8.586246991514276,52.13552107491889,1.55892,MBA,.45626
   161 Athor,161,Athor,9.1,40.992,0.230,18.56556598807876,294.6780930671628,1.05861,MBA,.47191
   162 Laurentia,162,Laurentia,8.9,97.021,0.051,35.45556325051951,115.9172007523053,1.48535,MBA,.41115
   163 Erigone,163,Erigone,9.7,81.579,0.027,160.0471381567817,298.7456077232328,.93433,MBA,.43065
   164 Eva,164,Eva,8.8,100.254,0.049,76.81450159307811,284.0296540877403,.879404,MBA,.38983
   165 Loreley,165,Loreley,7.8,180.083,0.047,302.4484006491567,345.6759395081567,1.84526,MBA,.40809
   166 Rhodope,166,Rhodope,9.9,52.393,0.046,128.9157313609438,264.3227866813507,1.1611,MBA,.4245
   167 Urda,167,Urda,9.2,39.935,0.223,166.1890721021622,131.9739582979636,1.73135,MBA,.46251
   168 Sibylla,168,Sibylla,8.1,145.366,0.056,205.9600207880787,175.3661175052101,2.1267,OMB,.44459
   169 Zelia,169,Zelia,9.5,37.517,0.188,354.7495797619219,334.9978206505991,1.03936,MBA,.44657
